SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning;Sample_Type;ExploreVersion
S01;45;OID31341;Q14204;DYNC1H1;0.6477;Oncology_II;B13804;P1;PASS;-3.8925;-3.9891;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21380;Q13421;MSLN;0;Oncology;B04404;P1;PASS;-7.0918;-2.055;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21527;P26842;CD27;0;Oncology;B04404;P1;PASS;-7.7977;-3.3991;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20608;P20340;RAB6A;0;Inflammation;B04403;P1;PASS;-6.7899;-2.5492;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30406;Q9Y646;CPQ;0;Cardiometabolic_II;B13805;P1;PASS;-6.408;-0.4239;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21408;O14558;HSPB6;0;Oncology;B04404;P1;WARN;-7.4595;-1.1643;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21102;P01833;PIGR;0;Neurology;B04406;P1;PASS;-3.4445;-0.3307;Plate control;PASS;CONTROL;0.0.0
S02;77;OID20861;P39905;GDNF;0;Neurology;B04406;P1;WARN;-5.7644;-3.3615;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20149;Q6GTS8;PM20D1;0;Cardiometabolic;B04405;P1;PASS;-4.6177;0.3041;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20905;O14944;EREG;0;Neurology;B04406;P1;PASS;-2.9699;-0.7797;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31271;O15164;TRIM24;0;Oncology_II;B13804;P1;PASS;-6.0061;-5.3413;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21249;Q9BSW2;CRACR2A;0;Oncology;B04404;P1;PASS;-4.894;-3.059;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30193;P32241;VIPR1;0.9886;Cardiometabolic_II;B13805;P1;PASS;0.9035;-0.7758;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20500;P09874;PARP1;0;Inflammation;B04403;P1;WARN;-2.8081;-1.4053;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20854;P29466;CASP1;0;Neurology;B04406;P1;PASS;-6.6256;-3.3005;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21303;Q9Y662;HS3ST3B1;0;Oncology;B04404;P1;PASS;-4.6048;-0.933;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31374;O60749;SNX2;1;Oncology_II;B13804;P1;PASS;-4.6445;-5.9876;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20295;P80370;DLK1;0;Cardiometabolic;B04405;P1;PASS;-8.2259;-0.4256;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30616;O75347;TBCA;0;Inflammation_II;B13803;P1;PASS;-4.1495;-1.667;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21493;P37173;TGFBR2;0;Oncology;B04404;P1;PASS;-4.6934;-0.9916;Plate control;PASS;CONTROL;0.0.0
S01;45;OID30199;Q14324;MYBPC2;0;Cardiometabolic_II;B13805;P1;PASS;-3.1134;-1.8061;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30098;Q96IW2;SHD;0.625;Cardiometabolic_II;B13805;P1;PASS;-3.8466;-3.7201;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20703;Q9BY76;ANGPTL4;0;Inflammation;B04403;P1;WARN;-8.0769;-0.8377;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20916;P11464;PSG1;0;Neurology;B04406;P1;PASS;-2.9877;1.1486;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21525;O00548;DLL1;0;Oncology;B04404;P1;PASS;-9.3661;-1.8415;Plate control;PASS;CONTROL;0.0.0
S01;45;OID21288;P34949;MPI;0;Oncology;B04404;P1;PASS;-3.1449;-1.0003;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30116;P16066;NPR1;0.5795;Cardiometabolic_II;B13805;P1;PASS;-1.8177;-2.5623;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID21475;O14974;PPP1R12A;0;Oncology;B04404;P1;PASS;-5.1228;-4.0384;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20402;P04070;PROC;0;Cardiometabolic;B04405;P1;WARN;-7.6644;0.2229;Plate control;PASS;CONTROL;0.0.0
S01;45;OID31455;Q14160;SCRIB;0;Oncology_II;B13804;P1;PASS;-8.0426;-4.5131;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID20761;O75563;SKAP2;0;Inflammation;B04403;P1;PASS;-6.2656;-2.7219;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20508;Q06520;SULT2A1;0.1136;Inflammation;B04403;P1;PASS;-2.2291;-1.1453;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30893;Q93015;NAA80;0;Neurology_II;B13806;P1;PASS;-4.7946;-3.2462;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID20385;P08887;IL6R;0;Cardiometabolic;B04405;P1;PASS;-7.4514;-0.1666;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30943;P54277;PMS1;0.0227;Neurology_II;B13806;P1;PASS;-5.1622;-4.1603;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID31445;Q15599;SLC9A3R2;0;Oncology_II;B13804;P1;PASS;-5.8092;-3.4588;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30460;P06401;PGR;0.0795;Inflammation_II;B13803;P1;PASS;-3.9517;-3.6055;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20975;P50135;HNMT;0;Neurology;B04406;P1;PASS;-5.2385;0.8177;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID21164;Q7Z7D3;VTCN1;0.0682;Oncology;B04404;P1;PASS;-4.579;-2.9639;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30740;P0DOY2;IGLC2;0.0114;Inflammation_II;B13803;P1;PASS;-2.2646;-1.3931;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30725;P61769;B2M;0;Inflammation_II;B13803;P1;PASS;-3.8238;-1.624;Plate control;PASS;CONTROL;0.0.0
S02;77;OID31124;Q9UKY0;PRND;0;Neurology_II;B13806;P1;PASS;-3.8292;-0.8944;Plate control;PASS;CONTROL;0.0.0
S01;45;OID20389;Q16853;AOC3;0;Cardiometabolic;B04405;P1;PASS;-4.3369;0.2665;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_B12;24;OID30971;Q9BY14;TEX101;0;Neurology_II;B13806;P1;PASS;-5.9833;-4.5366;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30980;Q8WWM7;ATXN2L;0.7841;Neurology_II;B13806;P1;PASS;-4.1974;-4.0871;Plate control;PASS;CONTROL;0.0.0
CONTROL_SAMPLE_P1_A12;12;OID30606;Q9UI42;CPA4;0;Inflammation_II;B13803;P1;PASS;-3.2977;2.8769;Plate control;PASS;CONTROL;0.0.0
S02;77;OID30709;P01019;AGT;0;Inflammation_II;B13803;P1;PASS;-9.5887;-3.7693;Plate control;PASS;CONTROL;0.0.0
